"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","989","Check displaying of empty courses list","LMS system","2026-08-15","passed","2026-08-15","Courses","Courses","",""
"","1638","Check displaying of dashboard page","LMS system","2026-08-15","passed","2026-08-15","Dashboard","Dashboard","",""
"","1188","User login with wrong email or password","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","5046","User login with correct email and password","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","1388","Registration with correct email, username and password","LMS system","2026-08-15","passed","2026-08-15","Registration","Authentication","",""
"","1878","User login with correct email and password","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","1660","Create course","LMS system","2026-08-15","passed","2026-08-15","Courses","Courses","",""
"","821","User login with wrong email or password","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","2150","Edit course","LMS system","2026-08-15","passed","2026-08-15","Courses","Courses","",""
"","1038","User login with wrong email or password","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","3222","Edit course","LMS system","2026-08-15","passed","2026-08-15","Courses","Courses","",""
"","829","Navigation from login page to registration page","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","845","User login with wrong email or password","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","976","Navigation from login page to registration page","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","1236","User login with wrong email or password","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","778","Check displaying of dashboard page","LMS system","2026-08-15","passed","2026-08-15","Dashboard","Dashboard","",""
"","1349","Registration with correct email, username and password","LMS system","2026-08-15","passed","2026-08-15","Registration","Authentication","",""
"","722","User login with wrong email or password","LMS system","2026-08-15","passed","2026-08-15","Authorization","Authentication","",""
"","918","Check displaying of empty courses list","LMS system","2026-08-15","passed","2026-08-15","Courses","Courses","",""
"","1676","Create course","LMS system","2026-08-15","passed","2026-08-15","Courses","Courses","",""
