"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1031","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","983","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","2888","Edit course","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","790","Check displaying of dashboard page","LMS system","2026-08-14","passed","2026-08-14","Dashboard","Dashboard","",""
"","1544","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1007","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","5649","User login with correct email and password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1048","Check displaying of empty courses list","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","889","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1468","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1725","Create course","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","737","Navigation from login page to registration page","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1496","Registration with correct email, username and password","LMS system","2026-08-14","passed","2026-08-14","Registration","Authentication","",""
"","1387","Check displaying of dashboard page","LMS system","2026-08-14","passed","2026-08-14","Dashboard","Dashboard","",""
"","1668","User login with correct email and password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1121","Navigation from login page to registration page","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","743","Check displaying of empty courses list","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","2283","Edit course","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","1708","Create course","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","1310","Registration with correct email, username and password","LMS system","2026-08-14","passed","2026-08-14","Registration","Authentication","",""
