"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3479","Edit course","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","1480","Registration with correct email, username and password","LMS system","2026-08-13","passed","2026-08-13","Registration","Authentication","",""
"","2421","User login with correct email and password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","1019","User login with wrong email or password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","1798","Create course","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","811","Check displaying of empty courses list","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","6126","User login with correct email and password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","1838","User login with wrong email or password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","1021","Navigation from login page to registration page","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","1009","User login with wrong email or password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","2338","Check displaying of dashboard page","LMS system","2026-08-13","passed","2026-08-13","Dashboard","Dashboard","",""
"","906","Check displaying of dashboard page","LMS system","2026-08-13","passed","2026-08-13","Dashboard","Dashboard","",""
"","762","User login with wrong email or password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","1046","Check displaying of empty courses list","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","1835","User login with wrong email or password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","820","Navigation from login page to registration page","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","2493","Edit course","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","2143","Create course","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","1378","Registration with correct email, username and password","LMS system","2026-08-13","passed","2026-08-13","Registration","Authentication","",""
"","1428","User login with wrong email or password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
